fullSpell,desc,count,countStr,countUnit,price,priceStr,priceUnit,border,bubbleDesc,icon,entityId,entityType,id,name,longitude,latitude,imageType,selected
c3611100115449,0.51万(14套),14,14套,套,5121,0.51万,元,"106.284741,29.278081;106.286798,29.279372;106.287544,29.278293;106.288317,29.276206;106.28767,29.27571;106.287418,29.275371;106.286852,29.275088;106.286174,29.276652;106.286695,29.276762;106.286439,29.277562;106.286053,29.277782;106.285756,29.277692;106.285487,29.277475",星河奥韵,,3611100115449,resblock,3611100115449,星河奥韵,106.28692695681,29.277188914067,30002,False
c3611100110830,0.57万(12套),12,12套,套,5742,0.57万,元,"106.287854,29.281865;106.288712,29.281019;106.290145,29.281999;106.289287,29.282936;106.289282,29.282936",锦江半岛,,3611100110830,resblock,3611100110830,锦江半岛,106.28858718824,29.281575984088,30002,False
c3611100109557,0.66万(10套),10,10套,套,6577,0.66万,元,"106.292498,29.272871;106.29381,29.273308;106.295148,29.269842;106.293567,29.269519",金江港湾,,3611100109557,resblock,3611100109557,金江港湾,106.293805,29.271449,30002,False
c3611100110375,0.58万(8套),8,8套,套,5758,0.58万,元,"106.290639,29.278376;106.291914,29.278927;106.292663,29.276686;106.291972,29.276457",东江美景,,3611100110375,resblock,3611100110375,东江美景,106.2916802113,29.277970145248,30002,False
c3611100110085,0.54万(7套),7,7套,套,5377,0.54万,元,"106.28882,29.280822;106.290338,29.281767;106.29129,29.280341;106.289817,29.279554",碧水龙泉,,3611100110085,resblock,3611100110085,碧水龙泉,106.28985383994,29.280657442082,30002,False
c3620053765894565,0.57万(7套),7,7套,套,5699,0.57万,元,,琨洲华府,,3620053765894565,resblock,3620053765894565,琨洲华府,106.287864,29.267844,30002,False
c3620037413453209,0.56万(6套),6,6套,套,5634,0.56万,元,"106.290284,29.268468;106.291263,29.26861;106.291559,29.267444;106.290526,29.266523;106.290014,29.266822;106.290562,29.267783",锦绣华城,,3620037413453209,resblock,3620037413453209,锦绣华城,106.290979,29.268339,30002,False
c3611100110526,0.62万(4套),4,4套,套,6207,0.62万,元,"106.289898,29.279451;106.291348,29.280282;106.291577,29.279928;106.291919,29.278983;106.290576,29.278502",江畔如歌,,3611100110526,resblock,3611100110526,江畔如歌,106.29101841039,29.279250455317,30002,False
c3620030451351700,0.48万(3套),3,3套,套,4805,0.48万,元,"106.289916,29.266231;106.287921,29.26516;106.286646,29.266767;106.288227,29.267822",荧鸿艾坪山1号,,3620030451351700,resblock,3620030451351700,荧鸿艾坪山1号,106.288049,29.266683,30002,False
c3611100116683,0.66万(1套),1,1套,套,6620,0.66万,元,"106.286259,29.270496;106.287427,29.270787;106.288586,29.268842;106.287787,29.26859",魅力晶城,,3611100116683,resblock,3611100116683,魅力晶城,106.28773169448,29.269880394834,30002,False
c3620033689731779,0.6万(15套),15,15套,套,5965,0.6万,元,"106.476691,29.280141;106.471158,29.27781;106.473781,29.266247;106.488046,29.277621;106.487758,29.277558",恒大国际文化城,,3620033689731779,resblock,3620033689731779,恒大国际文化城,106.477926,29.273886,30002,False
c3620033924784051,0.5万(11套),11,11套,套,5029,0.5万,元,"106.58429,29.280936;106.584991,29.280354;106.585162,29.281236",威尼斯印象,,3620033924784051,resblock,3620033924784051,威尼斯印象,106.584727,29.280735,30002,False
c3611100124249,0.59万(7套),7,7套,套,5935,0.59万,元,"106.263981,29.288263;106.265216,29.288917;106.264686,29.28998;106.263028,29.28946",迷你星座,,3611100124249,resblock,3611100124249,迷你星座,106.264269,29.288853,30002,False
c3611100560590,0.45万(5套),5,5套,套,4514,0.45万,元,"106.25931,29.291344;106.258924,29.291616;106.258771,29.291852;106.258578,29.291714;106.258255,29.292076;106.258708,29.291974;106.258677,29.292246;106.258569,29.292305;106.258637,29.292395;106.258452,29.292529;106.258129,29.292238;106.257792,29.292344;106.257415,29.292856;106.257478,29.292927;106.257985,29.292403;106.25865,29.292825;106.258767,29.29273;106.258452,29.292529;106.258637,29.292395;106.258749,29.292328;106.258677,29.292246;106.258708,29.291978;106.258771,29.291852;106.258924,29.291616;106.25931,29.292041;106.259467,29.291931;106.259171,29.291608;106.2594,29.291458",麻纱市,,3611100560590,resblock,3611100560590,麻纱市,106.259013,29.291598,30002,False
c3611100500575,0.56万(4套),4,4套,套,5606,0.56万,元,"106.262288,29.295297;106.262171,29.295348;106.26258,29.29564;106.262706,29.295593",世豪大厦,,3611100500575,resblock,3611100500575,世豪大厦,106.262405,29.295447,30002,False
c3611100501998,0.5万(4套),4,4套,套,4962,0.5万,元,"106.254015,29.28574;106.255088,29.28572;106.255039,29.284787;106.254006,29.284799",锦江映象,,3611100501998,resblock,3611100501998,锦江映象,106.254446,29.285283,30002,False
c3611100122990,0.46万(2套),2,2套,套,4580,0.46万,元,"106.262435,29.289252;106.262903,29.289437;106.263316,29.288866;106.263096,29.288744;106.262912,29.288984;106.26266,29.288889",金星大厦,,3611100122990,resblock,3611100122990,金星大厦,106.262844,29.289114,30002,False
c3611100123033,0.42万(2套),2,2套,套,4157,0.42万,元,"106.256701,29.290202;106.256903,29.29049;106.258111,29.289954;106.257981,29.289643",玫瑰园,,3611100123033,resblock,3611100123033,玫瑰园,106.257226,29.290005,30002,False
c3611100125541,0.39万(2套),2,2套,套,3850,0.39万,元,"106.25746,29.284028;106.258358,29.284083;106.258448,29.282468;106.257653,29.282437;106.255591,29.281972;106.255111,29.282996;106.255187,29.283354",西江苑,,3611100125541,resblock,3611100125541,西江苑,106.25674625772,29.283012355859,30002,False
c3611100543928,0.38万(2套),2,2套,套,3755,0.38万,元,"106.254217,29.287929;106.255299,29.287819;106.255075,29.287024;106.254118,29.287173",滨江怡苑,,3611100543928,resblock,3611100543928,滨江怡苑,106.254715,29.287484,30002,False
c3611100557087,0.44万(2套),2,2套,套,4389,0.44万,元,"106.263936,29.288102;106.264308,29.287692;106.263326,29.286316;106.263056,29.286489;106.263061,29.286489;106.263061,29.286477;106.263074,29.286493;106.262293,29.287087;106.261529,29.28771;106.262005,29.288017;106.26165,29.287804;106.260649,29.288241;106.261093,29.288615;106.261704,29.288914;106.262019,29.288032;106.262423,29.288245;106.261973,29.289074;106.262386,29.289236;106.262647,29.288803;106.262917,29.288903;106.263109,29.28861;106.263383,29.288807;106.263549,29.28859;106.263253,29.288358;106.263564,29.287903",城南,,3611100557087,resblock,3611100557087,城南,106.261919,29.287558,30002,False
c3611100122629,0.48万(1套),1,1套,套,4758,0.48万,元,"106.254495,29.289445;106.25569,29.289083;106.255425,29.288324;106.254832,29.28843;106.254756,29.287981;106.254271,29.288099",满庭芳（江津）,,3611100122629,resblock,3611100122629,满庭芳（江津）,106.254758,29.288775,30002,False
c3611100124062,0.42万(1套),1,1套,套,4152,0.42万,元,"106.26019,29.28694;106.259947,29.286688;106.260913,29.285755;106.260962,29.286062",兰叶小区,,3611100124062,resblock,3611100124062,兰叶小区,106.260387,29.28644,30002,False
c3611100124308,0.39万(1套),1,1套,套,3903,0.39万,元,"106.254587,29.289706;106.254847,29.290403;106.255669,29.290088;106.255409,29.289419",世纪大厦,,3611100124308,resblock,3611100124308,世纪大厦,106.255144,29.289899,30002,False
c3611100124329,0.54万(1套),1,1套,套,5443,0.54万,元,"106.255466,29.288029;106.255915,29.287906;106.256072,29.28841;106.25565,29.288525",八一大厦,,3611100124329,resblock,3611100124329,八一大厦,106.25578837701,29.28819428757,30002,False
